_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"108","2009","42101","Philadelphia","Non-Motorized","N/A","34","0.6","2.2","82","1.4","5.3","116","2","7.5","null"
"109","2010","42017","Bucks","All","N/A","45","1","7.2","148","3.1","23.7","193","4.1","30.9","219.4"
"110","2010","42017","Bucks","Motorized","N/A","36","0.8","5.8","120","2.5","19.2","156","3.3","25","null"
"111","2010","42017","Bucks","Non-Motorized","N/A","9","0.2","1.4","28","0.6","4.5","37","0.8","5.9","null"
"112","2010","34005","Burlington","All","Official","37","0.8","8.2","114","2.5","25.4","151","3.3","33.6","161.4"
"113","2010","34005","Burlington","Motorized","Official","32","0.7","7.1","94","2.1","20.9","126","2.8","28","null"
"114","2010","34005","Burlington","Non-Motorized","Official","5","0.1","1.1","20","0.4","4.5","25","0.5","5.6","null"
"115","2010","34007","Camden","All","Official","43","1.2","8.3","123","3.2","24","166","4.4","32.3","175.8"
"116","2010","34007","Camden","Motorized","Official","29","0.8","5.6","95","2.5","18.5","124","3.3","24.1","null"
"117","2010","34007","Camden","Non-Motorized","Official","14","0.4","2.7","28","0.7","5.5","42","1.1","8.2","null"
"118","2010","42029","Chester","All","N/A","32","0.7","6.4","141","3.3","28.2","173","4","34.6","182.8"
"119","2010","42029","Chester","Motorized","N/A","31","0.7","6.2","130","3","26","161","3.7","32.2","null"
"120","2010","42029","Chester","Non-Motorized","N/A","1","0","0.2","11","0.3","2.2","12","0.3","2.4","null"
"121","2010","42045","Delaware","All","N/A","23","0.7","4.2","97","2.9","17.4","120","3.6","21.6","127.2"
"122","2010","42045","Delaware","Motorized","N/A","16","0.5","2.9","71","2.1","12.7","87","2.6","15.6","null"
"123","2010","42045","Delaware","Non-Motorized","N/A","7","0.2","1.3","26","0.8","4.7","33","1","6","null"
"124","2010","34015","Gloucester","All","Official","24","0.9","8.3","94","3.5","32.5","118","4.4","40.8","133.6"
"125","2010","34015","Gloucester","Motorized","Official","14","0.5","4.8","78","2.9","27","92","3.4","31.8","null"
"126","2010","34015","Gloucester","Non-Motorized","Official","10","0.4","3.5","16","0.6","5.5","26","1","9","null"
"127","2010","34021","Mercer","All","Official","21","0.7","5.8","82","2.5","22.3","103","3.2","28.1","106.4"
"128","2010","34021","Mercer","Motorized","Official","16","0.5","4.4","62","1.9","16.9","78","2.4","21.3","null"
"129","2010","34021","Mercer","Non-Motorized","Official","5","0.2","1.4","20","0.6","5.4","25","0.8","6.8","null"
"130","2010","42091","Montgomery","All","N/A","33","0.5","4.1","153","2.3","19.1","186","2.8","23.2","223.8"
"131","2010","42091","Montgomery","Motorized","N/A","30","0.5","3.7","131","2","16.4","161","2.5","20.1","null"
"132","2010","42091","Montgomery","Non-Motorized","N/A","3","0","0.4","22","0.3","2.7","25","0.3","3.1","null"
"133","2010","42101","Philadelphia","All","N/A","93","1.7","6.1","265","4.8","17.4","358","6.5","23.5","405.6"
"134","2010","42101","Philadelphia","Motorized","N/A","59","1.1","3.9","174","3.2","11.4","233","4.3","15.3","null"
"135","2010","42101","Philadelphia","Non-Motorized","N/A","34","0.6","2.2","91","1.6","6","125","2.2","8.2","null"
"136","2011","42017","Bucks","All","N/A","61","1.3","9.7","139","3","22.2","200","4.3","31.9","210"
"137","2011","42017","Bucks","Motorized","N/A","51","1.1","8.1","127","2.7","20.3","178","3.8","28.4","null"
"138","2011","42017","Bucks","Non-Motorized","N/A","10","0.2","1.6","12","0.3","1.9","22","0.5","3.5","null"
"139","2011","34005","Burlington","All","Official","45","1","10","106","2.4","23.6","151","3.4","33.6","157"
"140","2011","34005","Burlington","Motorized","Official","40","0.9","8.9","94","2.1","20.9","134","3","29.8","null"
"141","2011","34005","Burlington","Non-Motorized","Official","5","0.1","1.1","12","0.3","2.7","17","0.4","3.8","null"
"142","2011","34007","Camden","All","Official","44","1.1","8.5","114","3","22.3","158","4.1","30.8","167.8"
"143","2011","34007","Camden","Motorized","Official","31","0.8","6","84","2.2","16.4","115","3","22.4","null"
"144","2011","34007","Camden","Non-Motorized","Official","13","0.3","2.5","30","0.8","5.9","43","1.1","8.4","null"
"145","2011","42029","Chester","All","N/A","40","1","8","117","2.7","23.3","157","3.7","31.3","171.6"
"146","2011","42029","Chester","Motorized","N/A","33","0.8","6.6","109","2.5","21.7","142","3.3","28.3","null"
"147","2011","42029","Chester","Non-Motorized","N/A","7","0.2","1.4","8","0.2","1.6","15","0.4","3","null"
"148","2011","42045","Delaware","All","N/A","20","0.6","3.6","107","3.2","19.1","127","3.8","22.7","123.8"
"149","2011","42045","Delaware","Motorized","N/A","16","0.5","2.9","88","2.6","15.7","104","3.1","18.6","null"
"150","2011","42045","Delaware","Non-Motorized","N/A","4","0.1","0.7","19","0.6","3.4","23","0.7","4.1","null"
"151","2011","34015","Gloucester","All","Official","25","0.9","8.6","86","3.1","29.6","111","4","38.2","127.6"
"152","2011","34015","Gloucester","Motorized","Official","23","0.8","7.9","74","2.7","25.5","97","3.5","33.4","null"
"153","2011","34015","Gloucester","Non-Motorized","Official","2","0.1","0.7","12","0.4","4.1","14","0.5","4.8","null"
"154","2011","34021","Mercer","All","Official","21","0.6","5.7","60","1.9","16.3","81","2.5","22","94.2"
